hostname,suffix,country_code,country
www.army.mil,mil,US,United States of America
www.21tsc.army.mil,mil,US,United States of America
www.militaryonesource.mil,mil,US,United States of America
home.army.mil,mil,US,United States of America
www.soc.mil,mil,US,United States of America
www.1stiocmd.army.mil,mil,US,United States of America
8tharmy.korea.army.mil,mil,US,United States of America
www.1tsc.army.mil,mil,US,United States of America
www.2sigbde.army.mil,mil,US,United States of America
www.oldguard.mdw.army.mil,mil,US,United States of America
www.carson.army.mil,mil,US,United States of America
www.usar.army.mil,mil,US,United States of America
www.usarpac.army.mil,mil,US,United States of America
6mlmc.amedd.army.mil,mil,US,United States of America
www.hood.army.mil,mil,US,United States of America
www.7atc.army.mil,mil,US,United States of America
www.7sigcmd.army.mil,mil,US,United States of America
www.10thaamdc.army.mil,mil,US,United States of America
www.12cab.army.mil,mil,US,United States of America
www.19bcd.army.mil,mil,US,United States of America
www.25idl.army.mil,mil,US,United States of America
dmna.ny.gov,gov,US,United States of America
www.30thsignal.army.mil,mil,US,United States of America
sill-www.army.mil,mil,US,United States of America
www.in.ng.mil,mil,US,United States of America
www.lewis-mcchord.army.mil,mil,US,United States of America
mil.wa.gov,gov,US,United States of America
www.imd.idaho.gov,gov,US,United States of America
www.skysoldiers.army.mil,mil,US,United States of America
www.266fmc.eur.army.mil,mil,US,United States of America
www.tn.gov,gov,US,United States of America
www.afsbeurope.army.mil,mil,US,United States of America
www.409csb.army.mil,mil,US,United States of America
www.inscom.army.mil,mil,US,United States of America
www.atc.army.mil,mil,US,United States of America
www.amsara.amedd.army.mil,mil,US,United States of America
www.ags.army.mil,mil,US,United States of America
www.africom.mil,mil,US,United States of America
ats.army.mil,mil,US,United States of America
al.ng.mil,mil,US,United States of America
dmva.alaska.gov,gov,US,United States of America
rader.nrmc.amedd.army.mil,mil,US,United States of America
www.anad.army.mil,mil,US,United States of America
dema.az.gov,gov,US,United States of America
arkansas.nationalguard.mil,mil,US,United States of America
www.arlingtoncemetery.mil,mil,US,United States of America
ac.ccdc.army.mil,mil,US,United States of America
www.afrh.gov,gov,US,United States of America
www.benning.army.mil,mil,US,United States of America
asc.army.mil,mil,US,United States of America
usaasa.tradoc.army.mil,mil,US,United States of America
www.bands.army.mil,mil,US,United States of America
www.abc.army.mil,mil,US,United States of America
www.hrc.army.mil,mil,US,United States of America
www.arcyber.army.mil,mil,US,United States of America
www.dls.army.mil,mil,US,United States of America
soldierforlife.army.mil,mil,US,United States of America
www.aec.army.mil,mil,US,United States of America
www.gomo.army.mil,mil,US,United States of America
www.agc.army.mil,mil,US,United States of America
www.housing.army.mil,mil,US,United States of America
www.milsuite.mil,mil,US,United States of America
