hostname,suffix,country_code,country
in.gov,gov,US,United States of America
texas.gov,gov,US,United States of America
nyc.gov,gov,US,United States of America
ny.gov,gov,US,United States of America
cms.gov,gov,US,United States of America
illinois.gov,gov,US,United States of America
tn.gov,gov,US,United States of America
mn.gov,gov,US,United States of America
ga.gov,gov,US,United States of America
edb.gov.sg,gov.sg,SG,Singapore
state.gov,gov,US,United States of America
la.gov,gov,US,United States of America
gsa.gov,gov,US,United States of America
wa.gov,gov,US,United States of America
dhs.gov,gov,US,United States of America
faa.gov,gov,US,United States of America
usda.gov,gov,US,United States of America
sc.gov,gov,US,United States of America
ok.gov,gov,US,United States of America
chicago.gov,gov,US,United States of America
hhs.gov,gov,US,United States of America
arkansas.gov,gov,US,United States of America
cdc.gov,gov,US,United States of America
txdot.gov,gov,US,United States of America
ct.gov,gov,US,United States of America
studyinnewzealand.govt.nz,govt.nz,NZ,New Zealand
ed.gov,gov,US,United States of America
sandiegocounty.gov,gov,US,United States of America
nd.gov,gov,US,United States of America
loudoun.gov,gov,US,United States of America
census.gov,gov,US,United States of America
nsf.gov,gov,US,United States of America
lacounty.gov,gov,US,United States of America
treasury.gov,gov,US,United States of America
stb.gov.sg,gov.sg,SG,Singapore
gouv.qc.ca,qc.ca,CA,Canada
usaid.gov,gov,US,United States of America
iowa.gov,gov,US,United States of America
business.govt.nz,govt.nz,NZ,New Zealand
louisiana.gov,gov,US,United States of America
ato.gov.au,gov.au,AU,Australia
oklahoma.gov,gov,US,United States of America
jfc.go.jp,go.jp,JP,Japan
cpf.gov.sg,gov.sg,SG,Singapore
crowncommercial.gov.uk,gov.uk,GB,United Kingdom
cancer.gov,gov,US,United States of America
nzte.govt.nz,govt.nz,NZ,New Zealand
ks.gov,gov,US,United States of America
enz.govt.nz,govt.nz,NZ,New Zealand
ms.gov,gov,US,United States of America
nc.gov,gov,US,United States of America
miamidade.gov,gov,US,United States of America
london.gov.uk,gov.uk,GB,United Kingdom
alabama.gov,gov,US,United States of America
georgia.gov,gov,US,United States of America
michigan.gov,gov,US,United States of America
dot.gov,gov,US,United States of America
