hostname,suffix,country_code,country
www.apf.gov.np,gov.np,NP,Nepal
ocmcm.bagamati.gov.np,gov.np,NP,Nepal
ciaa.gov.np,gov.np,NP,Nepal
doit.gov.np,gov.np,NP,Nepal
doanepal.gov.np,gov.np,NP,Nepal
www.doa.gov.np,gov.np,NP,Nepal
www.immigration.gov.np,gov.np,NP,Nepal
www.dmgnepal.gov.np,gov.np,NP,Nepal
nepalpassport.gov.np,gov.np,NP,Nepal
dos.gov.np,gov.np,NP,Nepal
www.dotm.gov.np,gov.np,NP,Nepal
election.gov.np,gov.np,NP,Nepal
gandaki.gov.np,gov.np,NP,Nepal
moys.gov.np,gov.np,NP,Nepal
ird.gov.np,gov.np,NP,Nepal
karnali.gov.np,gov.np,NP,Nepal
kathmandu.gov.np,gov.np,NP,Nepal
lmtc.gov.np,gov.np,NP,Nepal
ocmcm.lumbini.gov.np,gov.np,NP,Nepal
madhesh.gov.np,gov.np,NP,Nepal
www.moald.gov.np,gov.np,NP,Nepal
mocit.gov.np,gov.np,NP,Nepal
www.tourism.gov.np,gov.np,NP,Nepal
mod.gov.np,gov.np,NP,Nepal
moe.gov.np,gov.np,NP,Nepal
www.moewri.gov.np,gov.np,NP,Nepal
mofaga.gov.np,gov.np,NP,Nepal
mof.gov.np,gov.np,NP,Nepal
mofa.gov.np,gov.np,NP,Nepal
mofe.gov.np,gov.np,NP,Nepal
mohp.gov.np,gov.np,NP,Nepal
www.moha.gov.np,gov.np,NP,Nepal
moics.gov.np,gov.np,NP,Nepal
moless.gov.np,gov.np,NP,Nepal
molcpa.gov.np,gov.np,NP,Nepal
www.moljpa.gov.np,gov.np,NP,Nepal
www.mopit.gov.np,gov.np,NP,Nepal
moud.gov.np,gov.np,NP,Nepal
mowss.gov.np,gov.np,NP,Nepal
mowcsc.gov.np,gov.np,NP,Nepal
nationaldata.gov.np,gov.np,NP,Nepal
www.neb.gov.np,gov.np,NP,Nepal
nhrc.gov.np,gov.np,NP,Nepal
nhtc.gov.np,gov.np,NP,Nepal
www.nhrcnepal.org,org,NP,Nepal
nitc.gov.np,gov.np,NP,Nepal
nec.gov.np,gov.np,NP,Nepal
www.nepal.gov.np,gov.np,NP,Nepal
www.lawcommission.gov.np,gov.np,NP,Nepal
nnsw.gov.np,gov.np,NP,Nepal
nepalpolice.gov.np,gov.np,NP,Nepal
www.nrb.org.np,org.np,NP,Nepal
www.nta.gov.np,gov.np,NP,Nepal
ntb.gov.np,gov.np,NP,Nepal
cbs.gov.np,gov.np,NP,Nepal
aepc.gov.np,gov.np,NP,Nepal
nepaltradeportal.gov.np,gov.np,NP,Nepal
opmcm.gov.np,gov.np,NP,Nepal
p1.gov.np,gov.np,NP,Nepal
psc.gov.np,gov.np,NP,Nepal
sudurpashchim.gov.np,gov.np,NP,Nepal
supremecourt.gov.np,gov.np,NP,Nepal
bhadrapurmun.gov.np,gov.np,NP,Nepal
president.gov.np,gov.np,NP,Nepal
pri.gov.np,gov.np,NP,Nepal
dhm.gov.np,gov.np,NP,Nepal
